"Future Market Networks Limited",AGRE,FMNL,2012-03-06
"GE T&D India Limited",AREVAT&D,ALSTOMT&D,2012-03-12
"Texmaco Infrastructure & Holdings Limited",TEXMACOLTD,TEXINFRA,2012-03-20
"Metkore Alloys & Industries Limited",CRONIMET,METKORE,2012-04-02
"Orient Bell Limited",ORIENTCERA,ORIENTBELL,2012-04-17
"Dewan Housing Finance Corporation Limited",DEWANHOUS,DHFL,2012-05-22
"INEOS Styrolution India Limited",INEABS,STYABS,2012-06-20
"Xchanging Solutions Limited",CAMBRIDGE,XCHANGING,2012-06-25
"Pearl Global Industries Limited",HOPFL,PGIL,2012-07-02
"Swelect Energy Systems Limited",NUMERICPW,SWELECTES,2012-07-09
"GE Power India Limited",APIL,AIL,2012-07-11
"Sanofi India Limited",AVENTIS,SANOFI,2012-07-11
"Winsome Diamonds and Jewellery Limited",SURAJDIAMN,WINSOMEDJ,2012-07-24
"India Infoline Finance Limited",IIISL,IIFLFIN,2012-08-27
"Country Condo's Limited",NEOCURE,COUNCODOS,2012-08-31
"Accelya Solutions India Limited",KALECONSUL,ACCELYA,2012-09-06
"Tarmat Limited",ROMAN,TARMAT,2012-09-12
"Piramal Enterprises Limited",PIRHEALTH,PEL,2012-09-21
"Prozone Intu Properties Limited",PROZONE,PROZONECSC,2012-09-24
"Zuari Global Limited",ZUARIAGRO,ZUARIGLOB,2012-09-25
"Siti Networks Limited",WWIL,SITICABLE,2012-10-03
"HIL Limited",HYDRBADIND,HIL,2012-10-26
"BS Limited",BSTRANSCOM,BSLIMITED,2012-11-29
"Capital First Limited",FCH,CAPF,2012-12-06
"Vaibhav Global Limited",VAIBHAVGEM,VAIBHAVGBL,2012-12-24
"Dalmia Bharat Limited",DALMIABEL,DALMIABHA,2013-01-09
"Fidelity Mutual Fund - Fidelity Fixed Maturity Plan -SVI- Plan F",FIFMPS6FD,LTFMPS6FD,2013-01-14
"L&T Fixed Maturity Plan Series - VI Plan F",FIFMPS6FG,LTFMPS6FG,2013-01-14
"L&T Fixed Maturity Plane Series - VI Plan E",FIFMPS6EG,LTFMPS6EG,2013-01-14
"L&T Fixed Maturiy Plan Series - VI Plan F",FIFMPS6ED,LTFMPS6ED,2013-01-14
"Shirpur Gold Refinery Limited",AGEEGOLD,SHIRPUR-G,2013-01-17
"Linde India Limited",BOC,LINDEINDIA,2013-04-10
"Future Enterprises Limited",PANTALOONR,FRL,2013-04-11
"Future Enterprises Limited",PRETAILDVR,FRLDVR,2013-04-11
"Uttam Value Steels Limited",LLOYDSTEEL,UTTAMVALUE,2013-04-29
